aeroporto,slug,titulo,cliques_16m,cluster,decisao,url_dona,responsavel,status,observacao
LIS,guia-completo-tudo-o-que-voce-deveria-saber-sobre-o-aeroporto-de-lisboa,Guia Completo: Tudo o que você deveria saber sobre o Aeroporto de Lisboa,39,-,manter,,-,fora da onda 1,
LIS,onde-estacionar-proximo-ao-aeroporto-de-lisboa-guia-completo-para-viajantes,Onde Estacionar Próximo ao Aeroporto de Lisboa: Guia Completo para Viajantes,15,-,manter,,-,fora da onda 1,
LIS,guia-completo-dos-estacionamentos-proximos-ao-aeroporto-de-lisboa-precos-e-opcoes,Guia Completo dos Estacionamentos Próximos ao Aeroporto de Lisboa: Preços e Opções,1,-,manter,,-,fora da onda 1,
LIS,descubra-o-melhor-parque-low-cost-junto-ao-aeroporto-de-lisboa,Descubra o Melhor Parque Low Cost junto ao Aeroporto de Lisboa,1,-,manter,,-,fora da onda 1,Dona do melhor em LIS desde 15/08.
LIS,quanto-custa-o-estacionamento-no-aeroporto-lisboa,Quanto custa estacionar no Aeroporto Lisboa?,0,-,manter,,-,fora da onda 1,Dona do preço em LIS desde 15/08.
LIS,encontre-o-melhor-estacionamento-perto-do-aeroporto-de-lisboa,Encontre o Melhor Estacionamento Perto do Aeroporto de Lisboa,0,-,absorver,/blog/descubra-o-melhor-parque-low-cost-junto-ao-aeroporto-de-lisboa/,-,fora da onda 1,301 no ar desde 15/08.
LIS,qual-o-melhor-estacionamento-no-aeroporto-lisboa-em-2024,Qual o melhor estacionamento no Aeroporto Lisboa em 2024?,0,-,absorver,/blog/descubra-o-melhor-parque-low-cost-junto-ao-aeroporto-de-lisboa/,-,fora da onda 1,301 no ar desde 15/08.
LIS,quanto-custa-um-estacionamento-do-aeroporto-lisboa,Quanto Custa um Estacionamento do Aeroporto Lisboa?,0,-,absorver,/blog/quanto-custa-o-estacionamento-no-aeroporto-lisboa/,-,fora da onda 1,301 no ar desde 15/08.
LIS,como-pagar-mais-barato-no-estacionamento-do-aeroporto-de-lisboa,Como Pagar Mais Barato no Estacionamento do Aeroporto de Lisboa?,0,-,absorver,/blog/quanto-custa-o-estacionamento-no-aeroporto-lisboa/,-,fora da onda 1,301 no ar desde 15/08.
NVT,top-3-estacionamentos-do-aeroporto-de-navegantes,TOP 3 Estacionamentos do Aeroporto de Navegantes,912,-,manter,,-,fora da onda 1,NVT ficou fora da consolidação de 15/08 de propósito; os dois posts de preço convivem até a revisão da Fase 4.
NVT,preco-estacionamento-aeroporto-navegantes-saiba-tudo-aqui,Preço Estacionamento Aeroporto Navegantes: Saiba Tudo Aqui!,120,-,manter,,-,fora da onda 1,NVT ficou fora da consolidação de 15/08 de propósito; os dois posts de preço convivem até a revisão da Fase 4.
NVT,melhores-precos-de-estacionamento-no-aeroporto-de-navegantes,Preço de estacionamento no aeroporto de Navegantes: o comparativo de 2026,1,-,manter,,-,fora da onda 1,NVT ficou fora da consolidação de 15/08 de propósito; os dois posts de preço convivem até a revisão da Fase 4.
REC,aeroporto-do-recife-passageiros-voos-e-importancia-para-o-nordeste,"Aeroporto do Recife: passageiros, voos e por que ele atende o Nordeste inteiro",0,-,manter,,-,fora da onda 1,"Post novo (11/08/2026), sem histórico no baseline."
